sira,sure,ayet,metin
1,1,1,بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّح۪يمِ
2,1,2,اَلْحَمْدُ لِلّٰهِ رَبِّ الْعَالَم۪ينَۙ
3,3,7,هُوَ الَّـذ۪ٓي اَنْزَلَ عَلَيْكَ الْكِتَابَ ...
